GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
draughts,usantatecla.draughts.controllers,StartController,29,0,6,0,8,0,7,0,4,0
draughts,usantatecla.draughts.controllers,PlayController,56,0,6,0,13,0,10,0,7,0
draughts,usantatecla.draughts.controllers,Logic,68,0,0,0,10,0,2,0,2,0
draughts,usantatecla.draughts.controllers,Controller,50,0,14,0,10,0,11,0,4,0
draughts,usantatecla.draughts.controllers,MoveController,61,0,14,0,10,0,10,0,3,0
draughts,usantatecla.draughts.controllers,InteractorController,10,0,0,0,3,0,2,0,2,0
draughts,usantatecla.draughts.controllers,ResumeController,36,0,6,0,11,0,8,0,5,0
draughts,usantatecla.draughts.controllers,CancelController,12,0,0,0,5,0,2,0,2,0
draughts,usantatecla.draughts,Draughts,31,0,4,0,11,0,5,0,3,0
draughts,usantatecla.draughts.utils,YesNoDialog,73,0,18,0,13,0,14,0,5,0
draughts,usantatecla.draughts.utils,Console,41,111,10,12,14,34,16,8,6,7
draughts,usantatecla.draughts.models,Board,177,172,23,27,32,37,20,20,5,10
draughts,usantatecla.draughts.models,Piece,142,65,38,14,24,15,28,8,5,5
draughts,usantatecla.draughts.models,Error,0,69,0,0,0,12,0,1,0,1
draughts,usantatecla.draughts.models,Pawn,2,54,1,7,1,11,2,6,1,3
draughts,usantatecla.draughts.models,Color,57,32,13,0,9,4,9,2,2,2
draughts,usantatecla.draughts.models,Coordinate,59,311,15,47,10,58,17,35,2,19
draughts,usantatecla.draughts.models,StateValue,0,27,0,0,0,5,0,1,0,1
draughts,usantatecla.draughts.models,Game,634,0,106,0,124,0,75,0,22,0
draughts,usantatecla.draughts.models,Turn,51,24,10,0,15,7,8,4,3,4
draughts,usantatecla.draughts.models,Draught,4,11,0,2,1,5,1,3,1,2
draughts,usantatecla.draughts.models,Direction,2,92,1,7,1,20,1,7,0,4
draughts,usantatecla.draughts.models,State,6,34,3,3,0,10,3,5,0,5
draughts,usantatecla.draughts.views,StartView,31,0,6,0,8,0,6,0,3,0
draughts,usantatecla.draughts.views,PlayView,183,0,28,0,37,0,23,0,9,0
draughts,usantatecla.draughts.views,ResumeView,35,0,8,0,9,0,7,0,3,0
draughts,usantatecla.draughts.views,SubView,8,0,0,0,3,0,1,0,1,0
draughts,usantatecla.draughts.views,GameView,123,0,14,0,21,0,12,0,5,0
draughts,usantatecla.draughts.views,View,77,0,18,0,18,0,15,0,6,0
